id	label	rarity	tier	category	depth	definition
0	entity	25	common	noun.Tops	0	that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
1	abstraction	34	common	noun.Tops	1	a general concept formed by extracting common features from specific examples
2	physical entity	36	common	noun.Tops	1	an entity that has physical existence
3	thing	53	common	noun.artifact	1	an entity that is not named specifically
4	attribute	38	common	noun.Tops	2	an abstraction belonging to or characteristic of an entity
5	communication	37	common	noun.Tops	2	something that is communicated by or to or between people or groups
6	event	34	common	noun.Tops	2	something that happens at a given place and time
7	group	31	common	noun.Tops	2	any number of entities (members) considered as a unit
8	measure	26	common	noun.Tops	2	how much there is or how many there are of something that you can quantify
9	otherworld	65	ordinary	noun.cognition	2	an abstract spiritual world beyond earthly reality
10	psychological feature	41	common	noun.Tops	2	a feature of the mental life of a living organism
11	relation	32	common	noun.Tops	2	an abstraction belonging to or characteristic of two entities or parts together
12	set	46	common	noun.group	2	(mathematics) an abstract collection of numbers or symbols
13	causal agent	34	common	noun.Tops	2	any entity that produces an effect or is responsible for events or results
14	matter	36	common	noun.Tops	2	that which has mass and occupies space
15	object	29	common	noun.Tops	2	a tangible and visible entity; an entity that can cast a shadow
16	process	39	common	noun.Tops	2	a sustained phenomenon or one marked by gradual changes through a series of states
17	substance	63	ordinary	noun.substance	2	material of a particular kind or constitution
18	change	67	specific	noun.artifact	2	a thing that is different
19	everything	65	ordinary	noun.artifact	2	all things that are of importance to a person
20	freshener	65	ordinary	noun.artifact	2	anything that freshens
21	go-to	67	specific	noun.artifact	2	an action or object one always chooses first
22	horror	63	ordinary	noun.artifact	2	something that inspires horror; something horrible
23	instalike	65	ordinary	noun.artifact	2	something that is so good that it deserves to be instantly voted for on social media
24	jimdandy	57	common	noun.artifact	2	something excellent of its kind
25	must-see	67	specific	noun.artifact	2	something which is considered required to see
26	pacifier	63	ordinary	noun.artifact	2	anything that serves to pacify
27	security blanket	65	ordinary	noun.artifact	2	anything that an adult person uses to reduce anxiety
28	stinker	63	ordinary	noun.artifact	2	anything that gives off an offensive odor (especially a cheap cigar)
29	whacker	61	ordinary	noun.artifact	2	something especially big or impressive of its kind
30	ballast	67	specific	noun.attribute	3	an attribute that tends to give stability in character and morals; something that steadies the mind or feelings
31	character	67	specific	noun.attribute	3	(genetics) an attribute (structural or functional) that is determined by a gene or group of genes
32	cheerfulness	52	common	noun.attribute	3	the quality of being cheerful and dispelling gloom
33	common denominator	70	technical	noun.attribute	3	an attribute that is common to all members of a category
34	depth	71	technical	noun.attribute	3	the attribute or quality of being deep, strong, or intense
35	eidos	67	specific	noun.attribute	3	(anthropology) the distinctive expression of the cognitive or intellectual character of a culture or a social group
36	ethos	67	specific	noun.attribute	3	(anthropology) the distinctive spirit of a culture or an era
37	human nature	71	technical	noun.attribute	3	the shared psychological attributes of humankind that are assumed to be shared by all human beings
38	inheritance	60	common	noun.attribute	3	any attribute or immaterial possession that is inherited from ancestors
39	personality	55	common	noun.attribute	3	the complex of all the attributes — behavioral, temperamental, emotional and mental — that characterize a unique individual
40	property	40	common	noun.attribute	3	a basic or essential property shared by all members of a class
41	quality	37	common	noun.attribute	3	an essential and distinguishing attribute of something or someone
42	shape	38	common	noun.Tops	3	the spatial arrangement of something as distinct from its substance
43	space	46	common	noun.Tops	3	the unlimited expanse in which everything is located
44	state	37	common	noun.Tops	3	the way something is with respect to its main attributes
45	time	53	common	noun.Tops	3	the continuum of experience in which events pass from the future through the present to the past
46	trait	46	common	noun.attribute	3	a distinguishing feature of your personal nature
47	uncheerfulness	65	ordinary	noun.attribute	3	not conducive to cheer or good spirits
48	auditory communication	49	common	noun.communication	3	communication that relies on hearing
49	contagion	65	ordinary	noun.communication	3	the communication of an attitude or emotional state among a number of people
50	didacticism	68	specific	noun.communication	3	communication that is suitable for or intended to be instructive
51	display	59	common	noun.communication	3	exhibiting openly in public view
52	document	53	common	noun.possession	3	a written account of ownership or obligation
53	expressive style	47	common	noun.communication	3	a way of expressing something (in language or art or music etc.) that is characteristic of a particular person or group of people or period
54	indication	41	common	noun.communication	3	something that serves to indicate or suggest
55	language	34	common	noun.communication	3	a systematic means of communicating by the use of sounds or conventional symbols
56	message	52	common	noun.communication	3	a communication (usually brief) that is written or spoken or signaled
57	paralanguage	64	ordinary	noun.communication	3	the use of manner of speaking to communicate particular meanings
58	psychic communication	56	common	noun.communication	3	communication by paranormal means
59	publication	67	specific	noun.act	3	the communication of something to the public; making information generally known
60	sign	54	common	noun.communication	3	a public display of a message
61	signal	33	common	noun.communication	3	any nonverbal action or gesture that encodes a message
62	visual communication	54	common	noun.communication	3	communication that relies on vision
63	voice	39	common	noun.communication	3	the sound made by the vibration of vocal folds modified by the resonance of the vocal tract
64	written communication	39	common	noun.communication	3	communication by means of written symbols (either printed or handwritten)
65	act	28	common	noun.Tops	3	something that people do or cause to happen
66	hackathon	67	specific	noun.event	3	an event involving a marathon coding session
67	happening	34	common	noun.event	3	an event that happens
68	makeup	63	ordinary	noun.event	3	an event that is substituted for a previously cancelled event
69	might-have-been	73	obscure	noun.event	3	an event that could have occurred but never did
70	migration	66	ordinary	noun.event	3	(chemistry) the nonrandom movement of an atom or radical from one place to another within a molecule
71	miracle	64	ordinary	noun.event	3	a marvellous event manifesting a supernatural act of a divine agent
72	nonevent	68	specific	noun.event	3	an anticipated event that turns out to be far less significant than was expected
73	social event	53	common	noun.event	3	an event characteristic of persons forming groups
74	zap	68	specific	noun.event	3	a sudden event that imparts energy or excitement, usually with a dramatic impact
75	actinoid	61	ordinary	noun.substance	3	any of a series of radioactive elements with atomic numbers 89 through 103
76	arrangement	45	common	noun.group	3	an orderly grouping (of things or persons) considered as a unit; the result of arranging
77	association	66	ordinary	noun.group	3	(ecology) a group of organisms (plants and animals) that live together in a certain geographical region and constitute a community with a few dominant species
78	biological group	54	common	noun.group	3	a group of plants or animals
79	circuit	68	specific	noun.group	3	(law) a judicial division of a state or the United States (so-called because originally judges traveled and held court in different locations); one of the twelve groups of states in the United States that is covered by a particular circuit court of appeals
80	citizenry	57	common	noun.group	3	the body of citizens of a state or country
81	collection	32	common	noun.group	3	several things grouped together or considered as a whole
82	community	57	common	noun.group	3	(ecology) a group of interdependent organisms inhabiting the same region and interacting with each other
83	edition	65	ordinary	noun.group	3	all of the identical copies of something offered to the public at the same time
84	electron shell	71	technical	noun.group	3	a grouping of electrons surrounding the nucleus of an atom
85	ethnic group	57	common	noun.group	3	people of the same race or nationality who share a distinctive culture
86	halogen	61	ordinary	noun.substance	3	any of five related nonmetallic elements (fluorine or chlorine or bromine or iodine or astatine) that are all monovalent and readily form negative ions
87	kingdom	70	technical	noun.group	3	a basic group of natural objects
88	mineral association	71	technical	noun.group	3	minerals that can be found together in a rock.
89	multitude	47	common	noun.group	3	the common people generally
90	people	45	common	noun.group	3	(plural) any group of human beings (men or women or children) collectively
91	population	62	ordinary	noun.group	3	a group of organisms of the same species inhabiting a given area
92	race	59	common	noun.group	3	people who are believed to belong to the same genetic stock
93	rare earth	55	common	noun.substance	3	any element of the lanthanide series (atomic numbers 57 through 71)
94	sainthood	65	ordinary	noun.group	3	saints collectively
95	series	71	technical	noun.group	3	a group of postage stamps having a common theme or a group of coins or currency selected as a group for study or collection
96	social group	45	common	noun.group	3	people sharing some social relation
97	stellar association	71	technical	noun.group	3	a very large, loose grouping of stars that are of similar spectral type and relatively recent origin.
98	straggle	68	specific	noun.group	3	a wandering or disorderly grouping (of things or persons)
99	subgroup	64	ordinary	noun.group	3	a distinct and often subordinate group within a group
100	swarm	61	ordinary	noun.group	3	a group of many things in the air or on the ground
101	system	44	common	noun.group	3	a group of independent but interrelated elements comprising a unified whole
102	varna	61	ordinary	noun.group	3	(Hinduism) the name for the original social division of Vedic people into four groups (which are subdivided into thousands of jatis)
103	world	56	common	noun.animal	3	all of the living human inhabitants of the earth
104	chronostratigraphic unit	71	technical	noun.time	3	a segment of rock formed during a particular interval of geologic time.
105	cordage	66	ordinary	noun.quantity	3	the amount of wood in an area as measured in cords
106	definite quantity	47	common	noun.quantity	3	a specific measure of amount
107	exposure dose	71	technical	noun.quantity	3	a measurement of radiation in relation to its ability to produce ionization.
108	fundamental quantity	45	common	noun.quantity	3	one of the four quantities that are the basis of systems of measurement
109	indefinite quantity	52	common	noun.quantity	3	an estimated quantity
110	magnetization	55	common	noun.quantity	3	the extent or degree to which something is magnetized
111	octane number	67	specific	noun.quantity	3	a measure of the antiknock properties of gasoline
112	playing period	56	common	noun.time	3	(in games or plays or other performances) the time during which play proceeds
113	point	54	common	noun.time	3	an instant of time
114	probability	55	common	noun.attribute	3	a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible
115	proof	66	ordinary	noun.quantity	3	a measure of alcoholic strength expressed as an integer twice the percentage of alcohol present (by volume)
116	quantum	65	ordinary	noun.cognition	3	(physics) the smallest discrete quantity of some physical property that a system can possess (according to quantum theory)
117	radical	67	specific	noun.quantity	3	(mathematics) a quantity expressed as the root of another quantity
118	relative quantity	63	ordinary	noun.quantity	3	a quantity relative to some purpose
119	system of measurement	53	common	noun.quantity	3	a system of related measures that facilitates the quantification of some particular characteristic
120	time interval	55	common	noun.time	3	a definite length of time marked off by two instants
121	time unit	55	common	noun.time	3	a unit for measuring time periods
122	value	59	common	noun.possession	3	the amount (of money or goods or services) that is considered to be a fair equivalent for something else
123	volume	57	common	noun.quantity	3	the amount of 3-dimensional space occupied by an object
124	cognition	35	common	noun.Tops	3	the psychological result of perception and learning and reasoning
125	motivation	45	common	noun.Tops	3	the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
126	affinity	59	common	noun.relation	3	a close connection marked by community of interests or similarity in nature or character
127	business relation	65	ordinary	noun.relation	3	a relation between different business enterprises
128	causality	68	specific	noun.relation	3	the relation between causes and effects
129	comparison	64	ordinary	noun.relation	3	relation based on similarities and differences
130	connection	43	common	noun.relation	3	a relation between things or events (as in the case of one causing the other or sharing features with it)
131	control	62	ordinary	noun.relation	3	a relation of constraint of one entity (thing or person or group) by another
132	foundation	57	common	noun.relation	3	the basis on which something is grounded
133	function	67	specific	noun.relation	3	a relation such that one thing is dependent on another
134	interrelation	59	common	noun.relation	3	mutual or reciprocal relation or relatedness
135	kinship	50	common	noun.relation	3	(anthropology) relatedness or connection by blood or marriage or adoption
136	linguistic relation	57	common	noun.relation	3	a relation between linguistic forms or constituents
137	logical relation	63	ordinary	noun.relation	3	a relation between propositions
138	magnitude relation	50	common	noun.relation	3	a relation between magnitudes
139	mathematical relation	57	common	noun.relation	3	a relation between mathematical expressions (such as equality or inequality)
140	opposition	49	common	noun.relation	3	the relation between opposed entities
141	ownership	57	common	noun.possession	3	the relation of an owner to the thing possessed; possession with the right to transfer possession to others
142	part	19	common	noun.relation	3	something determined in relation to something that includes it
143	position	49	common	noun.attribute	3	the spatial property of a place where or way in which something is situated
144	possession	40	common	noun.Tops	3	anything owned or possessed
145	reciprocality	56	common	noun.relation	3	a relation of mutual dependence or action or influence
146	relationship	52	common	noun.relation	3	a relation between people; (‘relationship’ is often used where ‘relation’ would serve, as in ‘the relationship between inflation and unemployment’, but the preferred usage of ‘relationship’ is for human relations or states of relatedness)
147	social relation	60	common	noun.Tops	3	a relation between living organisms (especially between people)
148	temporal relation	65	ordinary	noun.relation	3	a relation involving time
149	unconnectedness	62	ordinary	noun.relation	3	the lack of a connection between things
150	Mandelbrot set	71	technical	noun.group	3	a set of complex numbers that has a highly convoluted fractal boundary when plotted; the set of all points in the complex plane that are bounded under a certain mathematical iteration
151	diagonal	67	specific	noun.group	3	(mathematics) a set of entries in a square matrix running diagonally either from the upper left to lower right entry or running from the upper right to lower left entry
152	domain	62	ordinary	noun.group	3	(mathematics) the set of values of the independent variable for which a function is defined
153	field	67	specific	noun.group	3	(mathematics) a set of elements such that addition and multiplication are commutative and associative and multiplication is distributive over addition and there are two elements 0 and 1
154	image	62	ordinary	noun.group	3	(mathematics) the set of values of the dependent variable for which a function is defined
155	intersection	64	ordinary	noun.shape	3	a point or set of points common to two or more geometric configurations
156	interval	61	ordinary	noun.cognition	3	a set containing all points (or all real numbers) between two given endpoints
157	locus	68	specific	noun.group	3	the set of all points or lines that satisfy or are determined by specific conditions
158	mathematical space	59	common	noun.group	3	(mathematics) any set of points that satisfy a set of postulates of some kind
159	null set	71	technical	noun.group	3	a set that is empty; a set with no members
160	semi-metric space	70	technical	noun.group	3	a generalized metric space in which the distance between two distinct points can be zero.
161	solution	65	ordinary	noun.group	3	the set of values that give a true statement when substituted into an equation
162	subset	68	specific	noun.group	3	a set whose members are members of another set; a set contained within another set
163	universal set	70	technical	noun.group	3	(mathematics) the set that contains all the elements or objects involved in the problem under consideration
164	actor	35	common	noun.person	3	a person who acts and gets things done
165	agent	46	common	noun.object	3	an active and efficient cause; capable of producing a certain effect
166	catalyst	68	specific	noun.person	3	something that causes an important event to happen
167	cause of death	70	technical	noun.state	3	the causal agent resulting in death
168	danger	59	common	noun.state	3	a cause of pain or injury or loss
169	destiny	62	ordinary	noun.person	3	the ultimate agency regarded as predetermining the course of events
170	deus ex machina	73	obscure	noun.person	3	any active agent who appears unexpectedly to solve an insoluble difficulty
171	engine	65	ordinary	noun.phenomenon	3	something used to achieve a purpose
172	first cause	64	ordinary	noun.person	3	an agent that is the cause of all things but does not itself have a cause
173	nature	65	ordinary	noun.person	3	a causal agent creating and controlling things in the universe
174	operator	49	common	noun.person	3	an agent that operates some apparatus or machine
175	organism	33	common	noun.Tops	3	a living thing that has (or can develop) the ability to act or function independently
176	power	60	common	noun.person	3	one possessing or exercising power or influence or authority
177	supernatural	63	ordinary	noun.person	3	supernatural forces and events and beings collectively
178	theurgy	65	ordinary	noun.person	3	the effect of supernatural or divine intervention in human affairs
179	vital principle	61	ordinary	noun.person	3	a hypothetical force to which the functions and qualities peculiar to living things are sometimes ascribed
180	antimatter	67	specific	noun.substance	3	matter consisting of elementary particles that are the antiparticles of those making up normal substances
181	dark matter	69	specific	noun.substance	3	(cosmology) a hypothetical form of matter that is believed to make up 90 percent of the universe; it is invisible (does not absorb or emit light) and does not collide with atomic particles but exerts gravitational force
182	emanation	62	ordinary	noun.substance	3	something that is emitted or radiated (as a gas or an odor or a light, etc.)
183	fluid	52	common	noun.substance	3	continuous amorphous matter that tends to flow and to conform to the outline of its container: a liquid or a gas
184	glop	66	ordinary	noun.substance	3	any gummy shapeless matter; usually unpleasant
185	grey body	67	specific	noun.object	3	a body that emits radiation in constant proportion to the corresponding black-body radiation.
186	pointlike mass	67	specific	noun.substance	3	the concept of either matter that is infinitely small, or an object which can be thought of as infinitely small.
187	residue	59	common	noun.substance	3	matter that remains after something has been removed
188	sediment	57	common	noun.object	3	matter that has been deposited by some natural process
189	sludge	52	common	noun.substance	3	any thick, viscous matter
190	solid	40	common	noun.substance	3	matter that is solid at room temperature and pressure
191	solute	68	specific	noun.substance	3	the dissolved matter in a solution; the component of a solution that changes its state
192	vegetable matter	63	ordinary	noun.substance	3	matter produced by plants or growing in the manner of a plant
193	ylem	67	specific	noun.substance	3	(cosmology) the original matter that (according to the big bang theory) existed before the formation of the chemical elements
194	catch	66	ordinary	noun.object	3	anything that is caught (especially if it is worth catching)
195	charm	59	common	noun.artifact	3	something believed to bring good luck
196	clanker	68	specific	noun.object	3	something that makes a clanking noise.
197	commemorative	68	specific	noun.object	3	an object (such as a coin or postage stamp) made to mark an event or honor a person
198	curio	48	common	noun.artifact	3	something unusual — perhaps worthy of collecting
199	discard	64	ordinary	noun.object	3	anything that is cast aside or discarded
200	draw	63	ordinary	noun.artifact	3	anything (straws or pebbles etc.) taken or chosen at random
201	film	62	ordinary	noun.artifact	3	a thin coating or layer
202	finding	68	specific	noun.object	3	something that is found
203	floater	67	specific	noun.object	3	an object that floats or is capable of floating
204	fomite	65	ordinary	noun.object	3	any inanimate object (as a towel or money or clothing or dishes or books or toys etc.) that can transmit infectious agents from one person to another
205	geological formation	49	common	noun.object	3	(geology) the geological features of the earth
206	growth	69	specific	noun.object	3	something grown or growing
207	hail	66	ordinary	noun.object	3	many objects thrown forcefully through the air
208	head	70	technical	noun.object	3	a rounded compact mass
209	hoodoo	69	specific	noun.artifact	3	something believed to bring bad luck
210	ice	57	common	noun.object	3	the frozen part of a body of water
211	je ne sais quoi	73	obscure	noun.artifact	3	something indescribable
212	keepsake	53	common	noun.artifact	3	something of sentimental value
213	land	40	common	noun.object	3	the solid part of the earth's surface
214	location	38	common	noun.Tops	3	a point or extent in space; a point or extent in space
215	makeweight	62	ordinary	noun.artifact	3	anything added to fill out a whole
216	moon	64	ordinary	noun.object	3	any object resembling a moon
217	neighbor	64	ordinary	noun.object	3	a nearby object of the same kind
218	paring	68	specific	noun.food	3	(usually plural) a part of a fruit or vegetable that is pared or cut off; especially the skin or peel
219	remains	57	common	noun.object	3	any object that is left unused or still extant
220	ribbon	57	common	noun.object	3	any long object resembling a thin line
221	shiner	63	ordinary	noun.object	3	something that shines (with emitted or reflected light)
222	snake	63	ordinary	noun.artifact	3	something long, thin, and flexible that resembles a snake
223	stuff	59	common	noun.artifact	3	miscellaneous unspecified objects
224	triviality	56	common	noun.artifact	3	something of small importance
225	vagabond	66	ordinary	noun.object	3	anything that resembles a vagabond in having no fixed place
226	wall	59	common	noun.object	3	anything that suggests a wall in structure or function or effect
227	web	54	common	noun.object	3	an intricate network suggesting something that was formed by weaving or interweaving
228	whole	37	common	noun.Tops	3	an assemblage of parts that is regarded as a single entity
229	chelation	65	ordinary	noun.process	3	(medicine) the process of removing a heavy metal from the bloodstream by means of a chelate as in treating lead or mercury poisoning
230	constant-volume process	63	ordinary	noun.process	3	a thermodynamic process during which the volume of the closed system undergoing such a process remains constant.
231	dealignment	68	specific	noun.process	3	a process whereby voters are moved toward nonpartisanship thus weakening the structure of political parties
232	decrease	51	common	noun.process	3	a process of becoming smaller or shorter
233	degeneration	55	common	noun.process	3	the process of declining from a higher to a lower level of effective power or vitality or essential quality
234	development	53	common	noun.process	3	a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
235	economic process	60	common	noun.process	3	any process affecting the production and development and management of material wealth
236	encapsulation	68	specific	noun.process	3	the process of enclosing (as in a capsule)
237	execution	57	common	noun.process	3	(computer science) the process of carrying out an instruction by a computer
238	human process	57	common	noun.process	3	a process in which human beings are involved
239	increase	49	common	noun.process	3	a process of becoming larger or longer or more numerous or more important
240	industrial process	63	ordinary	noun.process	3	a systematic series of mechanical or chemical operations that produce or manufacture something
241	irreversible process	71	technical	noun.process	3	any process that is not reversible
242	iteration	62	ordinary	noun.process	3	(computer science) executing the same set of instructions a given number of times or until a specified result is obtained
243	natural process	41	common	noun.process	3	a process existing in or produced by nature (rather than by the intent of human beings)
244	operation	63	ordinary	noun.process	3	process or manner of functioning or operating
245	organic process	46	common	noun.process	3	a process occurring in living organisms
246	phenomenon	44	common	noun.Tops	3	any state or process known through the senses rather than by intuition or reasoning
247	photography	58	common	noun.process	3	the process of producing images of objects on photosensitive surfaces
248	polytropic process	71	technical	noun.process	3	An expansion or compression of a gas in which the quantity pV n is held constant, where p and V are the pressure and volume of the gas, and n is some constant.
249	processing	55	common	noun.process	3	preparing or putting through a prescribed procedure
250	reversible process	71	technical	noun.process	3	any process in which a system can be made to pass through the same states in the reverse order when the process is reversed
251	sensitization	62	ordinary	noun.process	3	(psychology) the process of becoming highly sensitive to specific events or situations (especially emotional events or situations)
252	shaping	62	ordinary	noun.process	3	any process serving to define the shape of something
253	variation	68	specific	noun.process	3	the process of varying or being varied
254	body of water	52	common	noun.object	3	the part of the earth's surface covered with water (such as a river or lake or ocean)
255	inessential	61	ordinary	noun.object	3	anything that is not essential
256	necessity	49	common	noun.object	3	anything indispensable
257	reservoir	66	ordinary	noun.object	3	anything (a person or animal or plant or substance) in which an infectious agent normally lives and multiplies
258	subject	55	common	noun.artifact	3	something (a person or object or scene) selected by an artist or photographer for graphic representation
259	unit	44	common	noun.object	3	a single undivided natural thing occurring in the composition of something else
260	variable	63	ordinary	noun.object	3	something that is likely to vary; something that is subject to variation
261	unit character	73	obscure	noun.attribute	4	(genetics) a character inherited on an all-or-none basis and dependent on the presence of a single gene
262	good-temperedness	63	ordinary	noun.attribute	4	a cheerful willingness to be obliging
263	background	64	ordinary	noun.attribute	4	a person's social heritage: previous experience or training
264	birthright	69	specific	noun.attribute	4	a right or privilege that you are entitled to at birth
265	upbringing	65	ordinary	noun.attribute	4	properties acquired during a person's formative years
266	anal personality	69	specific	noun.attribute	4	(psychoanalysis) a personality characterized by meticulous neatness and suspicion and reserve; said to be formed in early childhood by fixation during the anal stage of development (usually as a consequence of toilet training)
267	genital personality	73	obscure	noun.attribute	4	(psychoanalysis) the mature personality which is not dominated by infantile pleasure drives
268	identity	54	common	noun.attribute	4	the distinct personality of an individual regarded as a persisting entity
269	narcissistic personality	74	obscure	noun.attribute	4	personality marked by self-love and self-absorption; unrealistic views about your own qualities and little regard for others
270	obsessive-compulsive personality	76	obscure	noun.attribute	4	personality characterized by a strong need to repeat certain acts or rituals
271	oral personality	73	obscure	noun.attribute	4	(psychoanalysis) a personality characterized either by generous optimism or aggressive and ambitious selfishness; formed in early childhood by fixation during the oral stage of development
272	personableness	70	technical	noun.attribute	4	the complex of attributes that make a person socially attractive
273	Americanness	71	technical	noun.attribute	4	the quality or characteristic of being American.
274	Argentineness	71	technical	noun.attribute	4	the state or quality of being Argentine.
275	Australianness	71	technical	noun.attribute	4	The state or quality of being Australian.
276	Englishness	71	technical	noun.attribute	4	a state or quality of being English.
277	Estonianess	71	technical	noun.attribute	4	state or condition of being Estonian
278	Frenchness	71	technical	noun.attribute	4	the state or condition of being French.
279	Germanness	71	technical	noun.attribute	4	The quality or characteristic of being German
280	Greekness	71	technical	noun.attribute	4	The state or condition of being Greek.
281	Icelandicness	71	technical	noun.attribute	4	The state or quality of being Icelandic.
282	Italianness	71	technical	noun.attribute	4	the state or quality of being Italian.
283	Jewishness	71	technical	noun.attribute	4	Of or relating to the Jews or their culture or religion.
284	Latvianness	71	technical	noun.attribute	4	The state or quality of being Latvian.
285	Portugueseness	71	technical	noun.attribute	4	The quality or state of being Portuguese.
286	Russianness	71	technical	noun.attribute	4	The quality or characteristic of being Russian.
287	Scottishness	71	technical	noun.attribute	4	the state or quality of being Scottish.
288	Serbianness	71	technical	noun.attribute	4	The state or quality of being Serbian.
289	Silesianness	71	technical	noun.attribute	4	a state or condition of being Silesian.
290	Slavicness	71	technical	noun.attribute	4	the state or quality of being Slavic.
291	Sovietness	71	technical	noun.attribute	4	The state or condition of being Soviet
292	Swedishness	71	technical	noun.attribute	4	a state or condition of being Swedish
293	Turkishness	71	technical	noun.attribute	4	the quality or state of being Turkish.
294	actinism	71	technical	noun.attribute	4	the property of radiation that enables it to produce photochemical effects
295	age	54	common	noun.attribute	4	how long something has existed
296	analyticity	71	technical	noun.attribute	4	the property of being analytic
297	anisotropy	71	technical	noun.attribute	4	the property of being anisotropic; having a different value when measured in different directions
298	antireligiousness	71	technical	noun.attribute	4	The state or condition of being opposed to religion.
299	apocryphalness	71	technical	noun.attribute	4	The property of being of doubtful authenticity, of lacking authority, or of not being regarded as canonical.
300	bodily property	59	common	noun.attribute	4	an attribute of the body
301	characteristic	68	specific	noun.attribute	4	any measurable property of a device measured under closely specified conditions
302	chemical property	69	specific	noun.attribute	4	a property used to characterize materials in reactions that change their identity
303	compositeness	71	technical	noun.attribute	4	the property of being a composite number
304	concentration	56	common	noun.attribute	4	the strength of a solution; number of molecules of a substance in a given volume
305	connectivity	71	technical	noun.attribute	4	the property of being connected or the degree to which something has connections
306	consistency	42	common	noun.attribute	4	the property of holding together and retaining its shape
307	constitution	48	common	noun.attribute	4	the way in which someone or something is composed
308	cosmopolitanity	71	technical	noun.attribute	4	a state or quality of being cosmopolitan
309	degree	44	common	noun.attribute	4	a position on a scale of intensity or amount or quality
310	detectability	71	technical	noun.attribute	4	The state of being noticeable.
311	disposition	62	ordinary	noun.attribute	4	a natural or acquired habit or characteristic tendency in a person or thing
312	duality	65	ordinary	noun.attribute	4	(physics) the property of matter and electromagnetic radiation that is characterized by the fact that some properties can be explained best by wave theory and others by particle theory
313	edibility	63	ordinary	noun.attribute	4	the property of being fit to eat
314	extension	73	obscure	noun.attribute	4	the ability to raise the working leg high in the air
315	fullness	61	ordinary	noun.attribute	4	the property of a sensation that is rich and pleasing
316	heredity	59	common	noun.attribute	4	the total of inherited attributes
317	hydrophobicity	71	technical	noun.attribute	4	the property of being water-repellent; tending to repel and not absorb water
318	isochronism	71	technical	noun.attribute	4	the property of occurring regularly at equal time intervals, of maintaining a constant period or interval, despite variations in other measurable factors in the same system.
319	isotropy	67	specific	noun.attribute	4	(physics) the property of being isotropic; having the same value when measured in different directions
320	magnitude	49	common	noun.attribute	4	the property of relative size or extent (whether large or small)
321	manner	40	common	noun.attribute	4	how something is done or how it happens
322	non-commercialism	74	obscure	noun.attribute	4	The property of not being connected with or engaged in commercial enterprises.
323	nonoptimality	71	technical	noun.attribute	4	The state of not being best, most favourable or desirable.
324	olfactory property	53	common	noun.attribute	4	any property detected by the olfactory system
325	omnivorousness	71	technical	noun.attribute	4	The state of eating both animal and plant matter.
326	optics	71	technical	noun.attribute	4	optical properties
327	perceptuality	71	technical	noun.attribute	4	The quality of being related to the organization, identification, and interpretation of sensory information.
328	phonetic property	70	technical	noun.attribute	4	An articulatory or acoustic property of speech sounds.
329	physical property	57	common	noun.attribute	4	any property used to characterize matter and energy and their interactions
330	primality	71	technical	noun.attribute	4	the property of being a prime number
331	prosociality	71	technical	noun.attribute	4	The quality of being beneficial to all parties and consistent with community laws and mores.
332	saltiness	67	specific	noun.attribute	4	the property of containing salt (as a compound or in solution)
333	selectivity	71	technical	noun.attribute	4	the property of being selective
334	size	55	common	noun.attribute	4	the property resulting from being one of a series of graduated measurements (as of clothing)
335	solvability	68	specific	noun.attribute	4	the property (of a problem or difficulty) that makes it possible to solve
336	sound property	59	common	noun.attribute	4	an attribute of sound
337	spatial property	56	common	noun.attribute	4	any property relating to or occupying space
338	strength	53	common	noun.attribute	4	the property of being physically or mentally strong
339	sustainability	71	technical	noun.attribute	4	the property of being sustainable
340	tactile property	60	common	noun.attribute	4	a property perceived by touch
341	taste property	62	ordinary	noun.attribute	4	a property appreciated via the sense of taste
342	televisuality	71	technical	noun.attribute	4	Quality of being of, relating to, or being suitable for broadcast by television.
343	temporal property	58	common	noun.attribute	4	a property relating to time
344	unsolvability	68	specific	noun.attribute	4	the property (of a problem or difficulty) that makes it impossible to solve
345	vascularity	71	technical	noun.attribute	4	the property being vascular
346	veterancy	71	technical	noun.attribute	4	a state or condition of being a veteran
347	viability	68	specific	noun.attribute	4	(of living things) capable of normal growth and development
348	visual property	56	common	noun.attribute	4	an attribute of vision
349	weakness	58	common	noun.attribute	4	the property of lacking physical or mental strength; liability to failure under pressure or stress or strain
350	wirelessness	71	technical	noun.attribute	4	The state or condition of being wireless; lack of wires or cables.
351	zigzaggedness	71	technical	noun.attribute	4	The state or quality of being zigzagged or alternating directions sharply.
352	ability	56	common	noun.attribute	4	the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
353	accuracy	59	common	noun.attribute	4	the quality of being near to the true value
354	air	55	common	noun.attribute	4	a distinctive but intangible quality surrounding a person or thing
355	amorality	71	technical	noun.attribute	4	the quality of being amoral
356	appearance	44	common	noun.attribute	4	outward or visible aspect of a person or thing
357	arability	71	technical	noun.attribute	4	the quality of land that is appropriate for cultivation
358	asset	55	common	noun.attribute	4	a useful or valuable quality
359	attraction	58	common	noun.attribute	4	the quality of arousing interest; being attractive or something that attracts
360	bad	55	common	noun.attribute	4	that which is below standard or expectations as of ethics or decency
361	brachycephaly	68	specific	noun.attribute	4	the quality of being brachycephalic
