id	label	rarity	tier	category	depth	definition
2329	clayeyness	66	ordinary	noun.attribute	5	The quality of being composed of clay.
2330	doughiness	73	obscure	noun.attribute	5	The quality or state of having the characteristics of dough, especially in appearance or consistency.
2331	gaseousness	70	technical	noun.attribute	5	having the consistency of a gas
2332	lumpiness	73	obscure	noun.attribute	5	The property of being full of lumps, not being smooth.
2333	porosity	64	ordinary	noun.attribute	5	the property of being porous; being able to absorb fluids
2334	softness	59	common	noun.attribute	5	the property of giving little resistance to pressure and being easily cut or molded
2335	solidity	57	common	noun.attribute	5	the consistency of a solid
2336	thickness	71	technical	noun.attribute	5	resistance to flow
2337	thinness	71	technical	noun.attribute	5	a consistency of low viscosity
2338	unbreakableness	73	obscure	noun.attribute	5	a consistency of something that does not break under pressure
2339	viscosity	64	ordinary	noun.attribute	5	resistance of a liquid to shear forces (and hence to flow)
2340	karyotype	73	obscure	noun.body	5	the appearance of the chromosomal makeup of a somatic cell in an individual or species (including the number and arrangement and size and structure of the chromosomes)
2341	phenotype	73	obscure	noun.attribute	5	what an organism looks like as a consequence of the interaction of its genotype and the environment
2342	texture	70	technical	noun.attribute	5	the physical composition of something (especially with respect to the size and shape of the small constituents of a substance)
2343	amplitude level	76	obscure	noun.attribute	5	the level on a scale of amplitude
2344	extreme	71	technical	noun.attribute	5	the furthest or highest degree of something
2345	grind	70	technical	noun.attribute	5	the grade of particle fineness to which a substance is ground
2346	high	66	ordinary	noun.attribute	5	a lofty level or position or degree
2347	highness	73	obscure	noun.attribute	5	a high degree (of amount or force etc.)
2348	immoderation	63	ordinary	noun.attribute	5	the quality of being excessive and lacking in moderation
2349	intensity	57	common	noun.attribute	5	high level or degree; the property of being intense
2350	low	71	technical	noun.attribute	5	a low level or position or degree
2351	lowness	74	obscure	noun.attribute	5	a low or small degree of any quality (amount or force or temperature etc.)
2352	moderation	61	ordinary	noun.attribute	5	quality of being moderate and avoiding extremes
2353	sun protection factor	75	obscure	noun.attribute	5	the degree to which a sunscreen protects the skin from the direct rays of the sun
2354	aptness	67	specific	noun.attribute	5	a disposition to behave in a certain way
2355	mordacity	73	obscure	noun.attribute	5	a disposition to biting
2356	predisposition	73	obscure	noun.attribute	5	a disposition in advance to react in a particular way
2357	proneness	73	obscure	noun.attribute	5	being disposed to do something
2358	separatism	71	technical	noun.attribute	5	a disposition toward schism and secession from a larger group; the principles and practices of separatists
2359	tendency	60	common	noun.attribute	5	a characteristic likelihood of or natural disposition toward a certain condition or character or effect
2360	digestibility	70	technical	noun.attribute	5	the property of being easy to digest
2361	indigestibility	70	technical	noun.attribute	5	the property of being difficult to digest
2362	kosherness	73	obscure	noun.attribute	5	The property of being fit to eat under Jewish dietary laws.
2363	absolute magnitude	75	obscure	noun.attribute	5	(astronomy) the magnitude that a star would have if it were viewed from a distance of 10 parsecs (32.62 light years) from the earth
2364	amount	56	common	noun.attribute	5	the relative magnitude of something with reference to a criterion
2365	amplitude	70	technical	noun.attribute	5	greatness of magnitude
2366	bulk	62	ordinary	noun.attribute	5	the property of something that is great in magnitude
2367	dimension	56	common	noun.attribute	5	the magnitude of something in a particular direction (especially length or width or height)
2368	extent	60	common	noun.attribute	5	the distance or area or volume over which something extends
2369	muchness	73	obscure	noun.attribute	5	greatness of quantity or measure or extent
2370	multiplicity	71	technical	noun.attribute	5	the property of being multiple
2371	subdimension	73	obscure	noun.attribute	5	a partial dimension that constitutes the entire dimension of a given object.
2372	triplicity	73	obscure	noun.attribute	5	the property of being triple
2373	artistic style	61	ordinary	noun.attribute	5	the style of a particular artist or school or movement
2374	drape	71	technical	noun.attribute	5	the manner in which fabric hangs or falls
2375	fit	70	technical	noun.attribute	5	the manner in which something fits
2376	form	75	obscure	noun.attribute	5	a particular mode in which something is manifested
